Index,Collection time,Acc_No,Mass_g,pHi,uL_NaOH,pHf,ueq_H,Notes
T_001,12 February 2019 16:00,AM02,0.44058,5.39,1975,7.03,8.965,
T_002,12 February 2019 16:00,AM01,0.39618,5.78,1565,7.01,7.900,
T_003,12 February 2019 16:00,OR01,0.20850,5.70,1478,7.05,14.177,
T_004,12 February 2019 16:00,OR03,0.17567,5.43,1336,7.03,15.210,
T_005,12 February 2019 16:00,AM03,0.28373,5.52,1024,7.02,7.218,
T_006,12 February 2019 16:00,OF04,0.19277,5.61,958,7.05,9.939,
T_007,12 February 2019 16:00,AM04,0.38870,5.73,1433,7.05,7.373,
T_008,12 February 2019 16:00,OF05,0.24613,,,,0.000,
T_009,12 February 2019 16:00,OR02,0.27780,5.65,1000,7.08,7.199,
T_010,12 February 2019 16:00,OR06,0.28630,5.51,1582,7.06,11.051,
T_011,12 February 2019 16:00,AM05,0.48892,,,,0.000,
T_012,12 February 2019 16:00,OF03,0.28498,5.19,1718,7.05,12.057,
T_013,12 February 2019 16:00,OF01,0.42860,5.69,1861,7.05,8.684,
T_014,12 February 2019 16:00,OF06,0.27693,6.19,1244,7.03,8.984,
T_015,12 February 2019 16:00,OR05,0.26118,5.24,1945,7.08,14.894,
T_016,12 February 2019 16:00,AM06,0.33814,5.15,2273,7.08,13.444,
T_017,12 February 2019 16:00,OF02,0.17055,5.95,1068,7.01,12.524,
T_018,12 February 2019 16:00,OR04,0.20451,,,,0.000,
T_019,13 February 2019 4:00,OR05,0.21817,6.28,546,7.05,5.005,
T_020,13 February 2019 4:00,OR03,0.19995,5.68,1000,7.03,10.003,
T_021,13 February 2019 4:00,AM04,0.37214,5.69,1579,7.03,8.486,
T_022,13 February 2019 4:00,AM06,0.24511,,,,0.000,
T_023,13 February 2019 4:00,OF03,0.17154,5.45,1163,7.06,13.560,
T_024,13 February 2019 4:00,AM03,0.17584,5.97,655,7.02,7.450,
T_025,13 February 2019 4:00,OR04,0.17824,6.27,548,7.01,6.149,
T_026,13 February 2019 4:00,OF04,0.20800,5.68,881,7.03,8.471,
T_027,13 February 2019 4:00,OR06,0.16506,5.50,980,7.04,11.874,
T_028,13 February 2019 4:00,AM02,0.28130,5.59,1544,7.04,10.978,
T_029,13 February 2019 4:00,OF06,0.20214,,,,0.000,
T_030,13 February 2019 4:00,OR01,0.09913,,,,0.000,
T_031,13 February 2019 4:00,AM05,0.18430,5.86,750,7.02,8.139,
T_032,13 February 2019 4:00,OF02,0.18538,5.58,1036,7.04,11.177,
T_033,13 February 2019 4:00,OF01,0.16810,5.67,980,7.08,11.660,
T_034,13 February 2019 4:00,AM01,0.32755,6.30,863,7.00,5.269,
T_035,13 February 2019 4:00,OR02,0.14175,5.71,1294,7.00,18.257,
T_036,13 February 2019 4:00,OF05,0.11662,5.98,709,7.05,12.159,
T_037,21 February 2019 16:00,AM03,0.30664,,,,0.000,
T_038,21 February 2019 16:00,AM01,0.29810,5.97,1106,7.01,7.420,
T_039,21 February 2019 16:00,AM05,0.19864,5.65,1300,7.00,13.089,
T_040,21 February 2019 16:00,AM04,0.19811,5.80,953,7.00,9.621,
T_041,21 February 2019 16:00,AM06,0.31686,6.21,1264,7.01,7.978,
T_042,21 February 2019 16:00,AM02,0.20365,5.67,1181,6.99,11.598,
T_043,22 February 2019 4:00,AM02,0.34051,5.46,2977,7.04,17.486,
T_044,22 February 2019 4:00,AM01,0.27965,5.19,3206,7.04,22.929,
T_045,22 February 2019 4:00,AM06,0.30465,5.21,3475,7.00,22.813,
T_046,22 February 2019 4:00,AM05,0.33841,5.03,3754,7.00,22.186,
T_047,22 February 2019 4:00,AM03,0.19955,,,,0.000,
T_048,22 February 2019 4:00,AM04,0.28688,5.02,3687,7.03,25.704,
T_049,22 February 2019 16:00,OF04,0.11357,6.37,322,6.99,5.671,
T_050,22 February 2019 16:00,OR05,0.15085,6.30,432,7.03,5.728,
T_051,22 February 2019 16:00,OF05,0.10184,6.61,252,7.02,4.949,
T_052,22 February 2019 16:00,OF02,0.09319,6.53,258,7.01,5.537,
T_053,22 February 2019 16:00,OF03,0.15229,6.52,347,7.02,4.557,
T_054,22 February 2019 16:00,OR01,0.10370,6.56,331,6.99,6.384,
T_055,22 February 2019 16:00,OR02,0.13345,6.40,416,7.03,6.235,
T_056,22 February 2019 16:00,OR03,0.10580,6.72,287,7.04,5.425,
T_057,22 February 2019 16:00,OF01,0.11349,6.68,227,7.00,4.000,
T_058,22 February 2019 16:00,OF06,0.12503,6.76,319,7.05,5.103,
T_059,22 February 2019 16:00,OR04,0.12407,6.38,371,7.04,5.980,
T_060,22 February 2019 16:00,OR06,0.13396,6.58,327,7.03,4.882,
T_061,23 February 2019 4:00,OR03,0.18512,5.40,1728,6.99,18.669,
T_062,23 February 2019 4:00,OF05,0.18124,5.22,2045,7.07,22.567,
T_063,23 February 2019 4:00,OF03,0.22194,5.04,2663,7.05,23.997,
T_064,23 February 2019 4:00,OR05,0.21525,5.33,2567,7.04,23.851,
T_065,23 February 2019 4:00,OR02,0.23207,4.98,2304,7.00,19.856,
T_066,23 February 2019 4:00,OR02,0.20611,5.14,2469,7.10,23.958,
T_067,23 February 2019 4:00,OF02,0.20352,5.14,2000,7.44,19.654,Sample took large jumps from ~pH 5.50 to 7.46 after the addition of 1000uL of NaOH. pH meter was recalibrated afterward and behavior normal.
T_068,23 February 2019 4:00,OR04,0.21644,5.20,2190,7.01,20.237,
T_069,23 February 2019 4:00,OR06,0.31368,5.18,5251,7.03,33.480,
T_070,23 February 2019 4:00,OF06,0.20343,5.30,1737,7.01,17.077,
T_071,23 February 2019 4:00,OR01,0.19860,5.32,2082,7.03,20.967,
T_072,23 February 2019 4:00,OF01,0.26462,5.10,3296,7.03,24.911,